feature,p_value,n_thresholds_actual,n_thresholds_null,actual_mean,null_mean,mean_r2,mean_mae
original_firstorder_Maximum_t0,,0,53,,0.004354033302867187,,0.13596141547516663
original_firstorder_Maximum_t72,,1,285,0.40247924625873566,-0.21102170318267063,,0.13596141547516663
original_firstorder_Maximum_delta,,0,66,,-0.39207214081596414,,0.13596141547516663
original_firstorder_Maximum_slope,,0,62,,-0.0028899361121500168,,0.13596141547516663
original_firstorder_Maximum_mean,,1,85,-0.4272156059741974,-0.015513634802225758,,0.13596141547516663
original_firstorder_Maximum_delta_t48_t72,,0,52,,-0.041819578036665916,,0.13596141547516663
original_firstorder_Maximum_slope_t48_t72,,0,27,,-0.004291525826341024,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_t0,,0,198,,-0.18711950113018505,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_t24,,0,330,,-0.09484149419356872,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_t48,,0,82,,0.13740806583678578,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_t72,,1,118,0.17306894436478615,0.10808102437689648,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_delta,,1,26,0.08675456419587135,0.35601995040017825,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_slope,,0,53,,0.005883298354195365,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_mean,,0,124,,-0.03782055676809602,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_slope_t0_t24,,0,36,,0.003611525936574051,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_delta_t24_t48,,0,58,,0.06376978862581067,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_slope_t24_t48,,0,48,,0.01613716469546489,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_delta_t48_t72,,0,27,,0.18754620429266383,,0.13596141547516663
original_firstorder_MeanAbsoluteDeviation_slope_t48_t72,,0,89,,0.005547038372671441,,0.13596141547516663
original_firstorder_Minimum_t0,,0,65,,0.16041390231022468,,0.13596141547516663
original_firstorder_Minimum_t24,,1,82,0.369332417845726,0.027681651286689972,,0.13596141547516663
original_firstorder_Minimum_t48,,0,80,,-0.16284461691975594,,0.13596141547516663
original_firstorder_Minimum_t72,,0,48,,0.0746178824629169,,0.13596141547516663
original_firstorder_Minimum_slope,,0,26,,0.002687937452300013,,0.13596141547516663
original_firstorder_Minimum_mean,,1,70,0.23483628779649734,0.11778306255915336,,0.13596141547516663
original_firstorder_Minimum_std,,1,142,0.16504612565040588,0.2512911465281332,,0.13596141547516663
original_firstorder_Minimum_delta_t0_t24,,0,57,,0.05309978504910281,,0.13596141547516663
original_firstorder_Minimum_slope_t0_t24,,0,95,,0.00927580321608969,,0.13596141547516663
original_firstorder_Minimum_slope_t24_t48,,0,31,,0.008434291447385124,,0.13596141547516663
original_firstorder_Minimum_delta_t48_t72,,0,23,,0.4565792267980135,,0.13596141547516663
original_firstorder_Minimum_slope_t48_t72,,0,18,,0.014538443414494395,,0.13596141547516663
original_firstorder_RootMeanSquared_t0,,0,123,,-0.06604248203518914,,0.13596141547516663
original_firstorder_RootMeanSquared_t24,,0,119,,0.06244309681483364,,0.13596141547516663
original_firstorder_RootMeanSquared_t72,,0,230,,0.10539684137734381,,0.13596141547516663
original_firstorder_RootMeanSquared_mean,,0,85,,0.05047812076175914,,0.13596141547516663
original_firstorder_RootMeanSquared_std,,0,107,,0.27579643117768743,,0.13596141547516663
original_firstorder_RootMeanSquared_delta_t0_t24,,0,50,,0.12246307810768485,,0.13596141547516663
original_firstorder_RootMeanSquared_slope_t0_t24,,0,18,,0.014874866096458087,,0.13596141547516663
original_firstorder_RootMeanSquared_delta_t24_t48,,0,26,,0.03887190963499821,,0.13596141547516663
original_firstorder_RootMeanSquared_slope_t24_t48,,0,55,,0.0023248560430312697,,0.13596141547516663
original_firstorder_RootMeanSquared_delta_t48_t72,,0,36,,0.017239454383444455,,0.13596141547516663
original_firstorder_RootMeanSquared_slope_t48_t72,,0,61,,0.0035841683890540763,,0.13596141547516663
original_firstorder_Skewness_t0,,0,69,,0.09844596214268518,,0.13596141547516663
original_firstorder_Skewness_t48,,0,15,,0.1589909998079141,,0.13596141547516663
original_firstorder_Skewness_t72,,0,12,,-0.055737626583625875,,0.13596141547516663
original_firstorder_Skewness_delta,,0,89,,-0.11503437337016928,,0.13596141547516663
original_firstorder_Skewness_slope,,0,83,,-0.003264043929908461,,0.13596141547516663
original_firstorder_Skewness_mean,,0,88,,0.07535900260766291,,0.13596141547516663
original_firstorder_Skewness_delta_t0_t24,,0,102,,-0.09626412799002092,,0.13596141547516663
original_firstorder_Skewness_slope_t0_t24,,0,58,,-0.007716250817573946,,0.13596141547516663
original_firstorder_Skewness_slope_t24_t48,,0,39,,-0.0038658886957049477,,0.13596141547516663
original_firstorder_Skewness_delta_t48_t72,,0,64,,0.054420449097960955,,0.13596141547516663
original_firstorder_Skewness_slope_t48_t72,,0,63,,-0.0004018689477171782,,0.13596141547516663
original_glrlm_LongRunEmphasis_t24,,0,32,,-0.010546363424509764,,0.13596141547516663
original_glrlm_LongRunEmphasis_t48,,0,55,,-0.1274584974077615,,0.13596141547516663
original_glrlm_LongRunEmphasis_t72,,0,145,,-0.5584242968595233,,0.13596141547516663
original_glrlm_LongRunEmphasis_delta,,0,135,,-0.610880773583496,,0.13596141547516663
original_glrlm_LongRunEmphasis_slope,,0,18,,-0.00867928416361489,,0.13596141547516663
original_glrlm_LongRunEmphasis_mean,,0,72,,0.03131412273635053,,0.13596141547516663
original_glrlm_LongRunEmphasis_std,,1,63,0.33677560091018677,0.3668215586434281,,0.13596141547516663
original_glrlm_LongRunEmphasis_delta_t0_t24,,0,70,,-0.03895888686778822,,0.13596141547516663
original_glrlm_LongRunEmphasis_delta_t24_t48,,0,3,,-0.05062656352917353,,0.13596141547516663
original_glrlm_LongRunEmphasis_slope_t24_t48,,0,146,,0.0004793100840649695,,0.13596141547516663
