feature,n_folds_selected,selection_frequency
original_shape2D_MinorAxisLength_mean,6,0.21428571428571427
original_shape2D_Sphericity_delta,6,0.21428571428571427
original_firstorder_10Percentile_slope,6,0.21428571428571427
original_glrlm_RunEntropy_mean,6,0.21428571428571427
original_glrlm_LongRunEmphasis_slope_t24_t48,6,0.21428571428571427
original_glrlm_LongRunEmphasis_t48,6,0.21428571428571427
original_firstorder_RootMeanSquared_t0,6,0.21428571428571427
original_firstorder_10Percentile_std,5,0.17857142857142858
original_glrlm_LongRunEmphasis_delta_t0_t24,5,0.17857142857142858
original_shape2D_Elongation_slope_t48_t72,5,0.17857142857142858
original_firstorder_Kurtosis_t0,5,0.17857142857142858
original_gldm_SmallDependenceLowGrayLevelEmphasis_t72,5,0.17857142857142858
original_firstorder_10Percentile_delta_t48_t72,5,0.17857142857142858
original_glrlm_RunLengthNonUniformityNormalized_t24,5,0.17857142857142858
original_glrlm_RunLengthNonUniformityNormalized_std,5,0.17857142857142858
original_shape2D_MinorAxisLength_slope_t48_t72,5,0.17857142857142858
original_gldm_DependenceVariance_delta_t48_t72,5,0.17857142857142858
original_gldm_SmallDependenceLowGrayLevelEmphasis_t0,5,0.17857142857142858
original_ngtdm_Contrast_delta_t0_t24,5,0.17857142857142858
original_shape2D_MinorAxisLength_t0,5,0.17857142857142858
original_glrlm_RunLengthNonUniformityNormalized_delta_t24_t48,5,0.17857142857142858
original_gldm_DependenceVariance_delta_t0_t24,5,0.17857142857142858
original_gldm_DependenceVariance_mean,5,0.17857142857142858
original_gldm_DependenceNonUniformityNormalized_t72,5,0.17857142857142858
original_firstorder_Minimum_t24,5,0.17857142857142858
original_shape2D_PerimeterSurfaceRatio_slope_t0_t24,5,0.17857142857142858
original_firstorder_Energy_t24,5,0.17857142857142858
original_firstorder_Skewness_delta_t0_t24,5,0.17857142857142858
original_firstorder_Skewness_mean,5,0.17857142857142858
original_firstorder_Skewness_slope_t24_t48,5,0.17857142857142858
original_glrlm_LongRunEmphasis_delta_t48_t72,5,0.17857142857142858
original_shape2D_PerimeterSurfaceRatio_t24,5,0.17857142857142858
original_shape2D_Sphericity_slope,5,0.17857142857142858
original_firstorder_RootMeanSquared_slope,5,0.17857142857142858
original_firstorder_RootMeanSquared_delta,5,0.17857142857142858
original_gldm_DependenceVariance_slope_t0_t24,5,0.17857142857142858
original_glrlm_RunLengthNonUniformityNormalized_mean,4,0.14285714285714285
original_firstorder_Maximum_t0,4,0.14285714285714285
original_firstorder_Kurtosis_slope_t0_t24,4,0.14285714285714285
original_firstorder_MeanAbsoluteDeviation_mean,4,0.14285714285714285
original_firstorder_Maximum_std,4,0.14285714285714285
original_ngtdm_Contrast_slope_t48_t72,4,0.14285714285714285
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta_t48_t72,4,0.14285714285714285
original_firstorder_10Percentile_slope_t48_t72,4,0.14285714285714285
original_glrlm_LongRunEmphasis_slope_t0_t24,4,0.14285714285714285
original_shape2D_Elongation_delta,4,0.14285714285714285
original_firstorder_Skewness_slope_t0_t24,4,0.14285714285714285
original_firstorder_Energy_mean,4,0.14285714285714285
original_shape2D_PerimeterSurfaceRatio_delta_t0_t24,4,0.14285714285714285
original_firstorder_10Percentile_slope_t0_t24,4,0.14285714285714285
original_firstorder_10Percentile_delta_t0_t24,4,0.14285714285714285
original_shape2D_PerimeterSurfaceRatio_slope,4,0.14285714285714285
original_firstorder_10Percentile_t48,4,0.14285714285714285
original_firstorder_10Percentile_delta,4,0.14285714285714285
original_shape2D_PerimeterSurfaceRatio_delta,4,0.14285714285714285
original_firstorder_RootMeanSquared_mean,4,0.14285714285714285
original_firstorder_RootMeanSquared_t48,4,0.14285714285714285
original_gldm_DependenceVariance_std,4,0.14285714285714285
