model,fold,feature,importance,r2,mae
RandomForest,7,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.07099313377599842,0.05163531666956589,0.16560300991441848
RandomForest,7,original_ngtdm_Contrast,0.05456167894358686,0.05163531666956589,0.16560300991441848
RandomForest,8,original_shape2D_Elongation,0.05240148085906805,0.493198889469619,0.10294568908467144
RandomForest,8,original_shape2D_MajorAxisLength,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_shape2D_MeshSurface,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_shape2D_MinorAxisLength,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_shape2D_Perimeter,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_shape2D_PerimeterSurfaceRatio,0.15266891047489142,0.493198889469619,0.10294568908467144
RandomForest,8,original_shape2D_Sphericity,0.09473645070559464,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_10Percentile,0.05824989187314697,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_90Percentile,0.05291844740415448,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_Energy,0.053048695409478944,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_InterquartileRange,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_Kurtosis,0.10369064443920321,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_Maximum,0.06102533937879715,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_MeanAbsoluteDeviation,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_Minimum,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_RootMeanSquared,0.07938463550945467,0.493198889469619,0.10294568908467144
RandomForest,8,original_firstorder_Skewness,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_glrlm_LongRunEmphasis,0.06554921902540348,0.493198889469619,0.10294568908467144
RandomForest,8,original_glrlm_RunEntropy,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_gldm_DependenceNonUniformityNormalized,0.10167214684564402,0.493198889469619,0.10294568908467144
RandomForest,8,original_gldm_DependenceVariance,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.493198889469619,0.10294568908467144
RandomForest,8,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.07080884073980812,0.493198889469619,0.10294568908467144
RandomForest,8,original_ngtdm_Contrast,0.053845297335355015,0.493198889469619,0.10294568908467144
RandomForest,9,original_shape2D_Elongation,0.051500670225049734,0.4385381527153105,0.10946532286735142
RandomForest,9,original_shape2D_MajorAxisLength,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_shape2D_MeshSurface,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_shape2D_MinorAxisLength,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_shape2D_Perimeter,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_shape2D_PerimeterSurfaceRatio,0.16631619983272863,0.4385381527153105,0.10946532286735142
RandomForest,9,original_shape2D_Sphericity,0.0972254979577037,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_10Percentile,0.06009500926180511,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_90Percentile,0.05221683999339424,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_Energy,0.05212587501632619,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_InterquartileRange,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_Kurtosis,0.10236237531803669,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_Maximum,0.05690985123668948,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_MeanAbsoluteDeviation,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_Minimum,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_RootMeanSquared,0.07884953855843409,0.4385381527153105,0.10946532286735142
RandomForest,9,original_firstorder_Skewness,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_glrlm_LongRunEmphasis,0.06355696435028799,0.4385381527153105,0.10946532286735142
RandomForest,9,original_glrlm_RunEntropy,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_gldm_DependenceNonUniformityNormalized,0.10079950045727379,0.4385381527153105,0.10946532286735142
RandomForest,9,original_gldm_DependenceVariance,0.0,0.4385381527153105,0.10946532286735142
RandomForest,9,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.4385381527153105,0.10946532286735142
